xmlid	basename	title	au-name
FRA00301	FRA00301_Aimard	Les Trappeurs de l'Arkansas : ELTeC edition	Aimard, Gustave 
FRA01302	FRA01302_Flaubert	Madame Bovary : ELTeC edition	Flaubert, Gustave 
FRA02802	FRA02802_Mirbeau	La Maréchale : ELTeC edition	Mirbeau, Octave 
FRA03301	FRA03301_Rattazzi	La Mexicaine : ELTeC edition	Rattazzi, Marie [Marie-Lætitia Bonaparte-Wyse] 
FRA02501	FRA02501_Loti	Mon frère Yves : ELTeC edition	Loti, Pierre 
FRA05901	FRA05901_Moselly	Terres lorraines : édition ELTeC	Moselly, Emile 
FRA02602	FRA02602_Malot	Sans famille : ELTeC edition	Malot, Hector 
FRA04002	FRA04002_Verne	Le Secret de Wilhelm Storitz : édition ELTeC	Verne, Jules 
FRA01601	FRA01601_GautierJ	La Sœur du Soleil : ELTeC edition	Gautier, Judith 
FRA03901	FRA03901_Stolz	La Maison roulante : ELTeC edition	Stolz, Madame de [Fanny de Bégon] 
FRA00401	FRA00401_Allais	Le Captain Cap : ELTeC edition	Allais, Alphone 
FRA03401	FRA03401_Reybaud	Mademoiselle de Malepeire : ELTeC edition	Reybaud, Fanny [Hippolyte Arnaud] 
FRA03201	FRA03201_Blandy	Rouzétou : ELTeC edition	Blandy, Stella 
FRA01603	FRA01603_GautierJ	Les Princesses d'Amour : courtisanes japonaises : ELTeC edition	Gautier, Judith 
FRA00503	FRA00503_Balzac	Le curé de village : ELTeC edition	Balzac, Honoré de 
FRA01101	FRA01101_Dombre	Une pupille gênante : ELTeC edition	Dombre, Roger [Marguerite Sisson / Marguerite Ligeron] 
FRA01801	FRA01801_Gay	Ellenore : ELTeC edition	Gay, Marie Françoise Sophie 
FRA01203	FRA01203_Feval	le Loup blanc : ELTeC edition	Féval, Paul Henri Corentin [dit Paul Féval père] 
FRA05702	FRA05702_Maquet	La Maison du baigneur : édition ELTeC	Maquet, Auguste 
FRA05401	FRA05401_Kock	Madeleine : édition ELTeC	Kock, Paul de 
FRA03101	FRA03101_Ponson	La baronne trépassée : ELTeC edition	Ponson du Terrail, Pierre Alexis 
FRA06301	FRA06301_Montepin	La porteuse de pain : édition ELTeC	de Montépin, Xavier 
FRA02701	FRA02701_Maupassant	Bel-Ami : ELTeC edition	Maupassant, Guy de 
FRA04801	FRA04801_Corday	Les révélées : édition ELTeC	Corday, Michel 
FRA05801	FRA05801_Mille	Louise et Barnavaux : édition ELTeC	Mille, Pierre 
FRA04401	FRA04401_Barbusse	Le Feu : édition ELTeC	Barbusse, Henri 
FRA00602	FRA00602_Boisgobey	Rubis sur l'ongle : ELTeC edition	Boisgobey, Fortuné du 
FRA03102	FRA03102_Ponson	La résurrection de Rocambole : ELTeC edition	Ponson du Terrail, Pierre Alexis 
FRA05201	FRA05201_Feuillet	La petite Comtesse : edition ELTeC	Feuillet, Octave 
FRA00601	FRA00601_Boisgobey	Le crime de l'omnibus : ELTeC edition	Boisgobey, Fortuné du 
FRA00501	FRA00501_Balzac	Albert Savarus : ELTeC edition	Balzac, Honoré de 
FRA00302	FRA00302_Aimard	Belle rivière : ELTeC edition	Aimard, Gustave 
FRA01401	FRA01401_Fleuriot	Un enfant gâté : ELTeC edition	Fleuriot, Zénaïde 
FRA01403	FRA01403_Fleuriot	Alberte : ELTeC edition	Fleuriot, Zénaïde 
FRA01701	FRA01701_GautierT	Militona : ELTeC edition	Gautier, Théophile 
FRA01402	FRA01402_Fleuriot	En congé : ELTeC edition	Fleuriot, Zénaïde 
FRA06601	FRA06601_Peladan	Modestie et vanité, roman (La décadence latine, éthopée, XVI) : édition ELTeC	Peladan, Joséphin [Joseph-Aimé Peladan] 
FRA01001	FRA01001_DelarueMardrus	Comme tout le monde : ELTeC edition	Delarue-Mardrus, Lucie 
FRA01201	FRA01201_Feval	Le Cavalier Fortune : ELTeC edition	Féval, Paul Henri Corentin [dit Paul Féval père] 
FRA01702	FRA01702_GautierT	Le roman de la momie : ELTeC edition	Gautier, Théophile 
FRA04001	FRA04001_Verne	Un capitaine de quinze ans : édition ELTeC	Verne, Jules 
FRA04901	FRA04901_Dumas	Reine Margot : édition ELTeC	Dumas, Alexandre [Dumas père] 
FRA03001	FRA03001_Ohnet	La Grande Marnière : ELTeC edition	Ohnet, Georges 
FRA05101	FRA05101_Eekhoud	L'autre vue : édition ELTeC	Eekhoud, Georges 
FRA03002	FRA03002_Ohnet	L'Âme de Pierre : ELTeC edition	Ohnet, Georges 
FRA02603	FRA02603_Malot	Conscience : ELTeC edition	Malot, Hector 
FRA03601	FRA03601_Proust	Du côté de chez Swann : ELTeC edition	Proust, Marcel 
FRA02203	FRA02203_Gouraud	Les Filles du professeur : ELTeC edition	Gouraud, Julie [Louise d'Aulnay] 
FRA00502	FRA00502_Balzac	Le cousin Pons : ELTeC edition	Balzac, Honoré de 
FRA06401	FRA06401_Chandeneux	Les Ménages militaires : édition ELTeC	Chandeneux, Claire de [Bérenger, Louise Lucienne Emma] 
FRA05601	FRA05601_Lesueur	Droit à la force : édition ELTeC	Lesueur, Daniel 
FRA03802	FRA03802_Stern	Nélida : ELTeC edition	Stern, Daniel [Marie d'Agoult] 
FRA01002	FRA01002_DelarueMardrus	Toutoune et son amour : ELTeC edition	Delarue-Mardrus, Lucie 
FRA00903	FRA00903_Daudet	Numa Roumestan : Mœurs Parisiennes : ELTeC edition	Daudet, Alphonse 
FRA03704	FRA03704_Sand	Horace : ELTeC edition	Sand, George [Amantine Lucile Aurore Dupin] 
FRA02302	FRA02302_Greville	L'amie : ELTeC edition	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand] 
FRA06501	FRA06501_Gyp	Totote : édition ELTeC	Gyp [Mirabeau, Sibylle Riquetti de] 
FRA04102	FRA04102_Erckmann	Madame Thérèse, ou les volontaires de 92 : ELTeC edition	Erckmann, Émile 
FRA06001	FRA06001_Rebell	Les Nuits chaudes du Cap français : édition ELTeC	Rebell, Hugues 
FRA04701	FRA04701_Bourget	Laurence Albani : édition ELTeC	Bourget, Paul 
FRA02401	FRA02401_LeRouge	L'Esclave amoureuse : ELTeC edition	Le Rouge, Gustave 
FRA02801	FRA02801_Mirbeau	L'abbé Jules : ELTeC edition	Mirbeau, Octave 
FRA03702	FRA03702_Sand	Le dernier amour : ELTeC edition	Sand, George [Amantine Lucile Aurore Dupin] 
FRA01902	FRA01902_Gaboriau	Monsieur Lecoq : ELTeC edition	Gaboriau, Émile 
FRA01602	FRA01602_GautierJ	Fleurs d'Orient : ELTeC edition	Gautier, Judith 
FRA00102	FRA00102_Adam	Païenne : ELTeC edition	Adam, Juliette 
FRA00901	FRA00901_Daudet	Le petit chose : ELTeC edition	Daudet, Alphonse 
FRA01102	FRA01102_Dombre	Folla : ELTeC edition	Dombre, Roger [Marguerite Sisson / Marguerite Ligeron] 
FRA00701	FRA00701_Carraud	La petite Jeanne : ELTeC edition	Carraud, Zulma 
FRA03701	FRA03701_Sand	Nanon : ELTeC edition	Sand, George [Amantine Lucile Aurore Dupin] 
FRA04301	FRA04301_Achard	Belle-Rose : édition ELTeC	Achard, Amédée 
FRA03003	FRA03003_Ohnet	Le Marchand de Poison : ELTeC edition	Ohnet, Georges 
FRA01501	FRA01501_France	Les dieux ont soif: ELTeC edition	France, Anatole 
FRA02702	FRA02702_Maupassant	Une Vie : ELTeC edition	Maupassant, Guy de 
FRA01303	FRA01303_Flaubert	Salammbô : ELTeC edition	Flaubert, Gustave 
FRA04601	FRA04601_Bazin	Le blé qui lève : édition ELTeC	Bazin, René 
FRA05501	FRA05501_Lermina	L'effrayante aventure : édition ELTeC	Lermina, Jules 
FRA06101	FRA06101_Sandeau	Mademoiselle de la Seigliere : édition ELTeC	Sandeau, Jules 
FRA03903	FRA03903_Stolz	Le Secret de Laurent : ELTeC edition	Stolz, Madame de [Fanny de Bégon] 
FRA05602	FRA05602_Lesueur	Masque d'Amour : édition ELTeC	Lesueur, Daniel 
FRA02901	FRA02901_Noailles	La nouvelle espérance : ELTeC edition	Noailles, Anna de 
FRA02303	FRA02303_Greville	Ariadne : ELTeC edition	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand] 
FRA02201	FRA02201_Gouraud	Quand je serai grande : ELTeC edition	Gouraud, Julie [Louise d'Aulnay] 
FRA05301	FRA05301_Galopin	Le Docteur Omega : édition ELTeC	Galopin, Arnould 
FRA02301	FRA02301_Greville	La seconde mère : ELTeC edition	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand] 
FRA02101	FRA02101_Girardin	Marguerite, ou Deux amours : ELTeC edition	Girardin, Delphine de [Delphine Gay] 
FRA03801	FRA03801_Stern	Hervé : ELTeC edition	Stern, Daniel [Marie d'Agoult] 
FRA00201	FRA00201_Audoux	Marie-Claire : ELTeC edition	Audoux, Marguerite 
FRA06201	FRA06201_Viel-Castel	Archambaud de Comborn : édition ELTeC	Viel-Castel, Horace de 
FRA02601	FRA02601_Malot	Romain Kalbris : ELTeC edition	Malot, Hector 
FRA02202	FRA02202_Gouraud	Le petit colporteur : ELTeC edition	Gouraud, Julie [Louise d'Aulnay] 
FRA00801	FRA00801_Dash	Le château de Pinon I : ELTeC edition	Comtesse Dash [Gabrielle Anna de Cisternes de Courtiras, vicomtesse de Saint-Mars] 
FRA04202	FRA04202_Rolland	La nouvelle journée : édition ELTeC	Rolland, Romain 
FRA00101	FRA00101_Adam	Mon Village : ELTeC edition	Adam, Juliette 
FRA02502	FRA02502_Loti	Ramuntcho : ELTeC edition	Loti, Pierre 
FRA01202	FRA01202_Feval	Les Errants de nuit : ELTeC edition	Féval, Paul Henri Corentin [dit Paul Féval père] 
FRA01301	FRA01301_Flaubert	L'Éducation sentimentale : ELTeC edition	Flaubert, Gustave 
FRA02001	FRA02001_Gilbert	Vers le pôle en aéroplane : ELTeC edition	Gilbert, Jehan 
FRA04501	FRA04501_Barres	Colette Baudoche : edition ELTeC	Barrès, Maurice 
FRA03302	FRA03302_Rattazzi	Le piège aux maris : ELTeC edition	Rattazzi, Marie [Marie-Lætitia Bonaparte-Wyse] 
